Suburb/Town Name,Offence Count
Hoddles Creek,10
Hollands Landing,23
Homebush,1
Homerton,3
Homewood,3
Hopetoun,12
Hopetoun Park,10
Hoppers Crossing,3010
Hordern Vale,1
Horfield,1
Horsham,2182
Hotspur,2
Howes Creek,2
Howqua Inlet,2
Hughesdale,292
Humevale,8
Huntingdale,175
Huntly,43
Huntly North,4
Huon,4
Huon Creek,1
Hurstbridge,120
Illawarra,4
Illowa,12
Indented Head,29
Inglewood,45
Ingliston,8
Invergordon,11
Inverleigh,36
Inverloch,298
Invermay,16
Invermay Park,43
Iona,5
Iraak,4
Irishtown,1
Ironbark,62
Irrewarra,11
Irrewillipe,7
Irrewillipe East,1
Irymple,217
Ivanhoe,870
Ivanhoe East,118
Jacana,252
Jack River,3
Jackass Flat,41
Jacob Creek,14
Jam Jerrup,8
Jamieson,16
Jan Juc,100
Jancourt,13
Jancourt East,19
Jarrahmond,2
Jeeralang Junction,8
Jeetho,1
Jeffcott North,1
Jeparit,37
Jindivick,14
Joel Joel,2
Johanna,4
Johnsonville,2
Joyces Creek,1
Jumbuk,1
Junction Village,24
Junortoun,22
Kaarimba,4
Kadnook,2
Kalimna,28
Kalimna West,8
Kalkallo,29
Kalkee,1
Kallista,29
Kalorama,10
Kalpienung,1
Kamarooka,4
Kancoona,1
Kangaroo Flat,1008
Kangaroo Ground,32
Kaniva,37
Kanumbra,4
Kanyapella,3
Kardella,3
Kardella South,4
Kariah,1
Karramomus,2
Katamatite,24
Katamatite East,1
Katandra,2
Katandra West,58
Katunga,42
Kawarren,3
Kealba,356
Keely,4
Keilor,337
Keilor Downs,504
Keilor East,691
Keilor Lodge,35
Keilor North,30
Keilor Park,269
Kelvin View,2
Kennedys Creek,7
Kennett River,2
Kennington,255
Kensington,1213
Kerang,272
Kergunyah,6
Kernot,1
Kerrie,1
Kerrisdale,5
Kevington,3
Kew,1370
Kew East,189
Kewell,1
Keysborough,1350
Kialla,288
Kialla East,5
Kialla West,14
Kiata,10
Kiewa,22
Kilcunda,30
Killara,19
Killarney,8
Killawarra,1
Killingworth,1
Kilmany,8
Kilmore,459
Kilmore East,26
Kilsyth,600
Kilsyth South,100
Kimbolton,29
King Valley,1
Kinglake,57
Kinglake Central,8
Kinglake West,40
Kings Park,479
Kingsbury,255
Kingston,7
Kingsville,136
Kirkstall,37
Kirwans Bridge,4
Kithbrook,9
Knockwood,6
Knowsley,18
Knoxfield,519
Koetong,3
Kongwak,4
Koo Wee Rup,166
Koondrook,45
Koonoomoo,80
Koonwarra,4
Koorlong,8
Koornalla,5
Koorooman,5
Kooyong,92
Koroit,81
Korong Vale,27
Koroop,2
Korumburra,259
Korumburra South,4
Korweinguboora,20
Kotta,6
Kotupna,3
Koyuga,14
Kulwin,1
Kunat,2
Kurting,1
Kurunjang,594
Kyabram,380
Kyabram South,2
Kyneton,558
Kyneton South,1
Kyvalley,4
Laanecoorie,6
Labertouche,14
Laceby,3
Ladys Pass,2
Laharum,9
Lake Boga,42
Lake Bolac,28
Lake Bunga,22
Lake Charm,5
Lake Eildon,2
Lake Fyans,1
Lake Gardens,39
Lake Goldsmith,6
Lake Lonsdale,6
Lake Mundi,3
Lake Powell,6
Lake Rowan,3
Lake Tyers,39
Lake Tyers Beach,24
Lake Wendouree,190
Lake Wongan,1
Lakes Entrance,777
Lal Lal,11
Lalbert,5
Lalor,1418
Lamplough,1
Lancaster,8
Lance Creek,1
Lancefield,100
Landsborough,28
Lang Lang,89
Lang Lang East,4
Langi Logan,4
Langkoop,2
Langley,5
Langsborough,2
Langwarrin,978
Langwarrin South,28
Lara,787
Lardner,5
Larpent,7
Lascelles,8
Launching Place,53
Lauriston,3
Lavers Hill,3
Laverton,917
Laverton North,589
Lawloit,3
Learmonth,49
Ledcourt,1
Leichardt,1
Leigh Creek,4
Leitchville,22
Lemnos,8
Leneva,13
Leongatha,286
Leongatha North,5
Leongatha South,13
Leopold,341
Lerderderg,4
Leslie Manor,1
Lethbridge,26
Lexton,40
Licola,11
Lillico,1
Lillicur,1
Lillimur,9
Lilydale,1441
Lima South,2
Lindenow,11
Lindenow South,20
Lindsay Point,1
Linga,3
Linton,37
Lismore,29
Little Hampton,4
Little River,106
Llanelly,1
Llowalong,2
Loch,10
Loch Sport,84
Loch Valley,1
Lockington,29
Locksley,15
Lockwood,18
Lockwood South,9
Logan,1
Londrigan,3
Long Forest,31
Long Gully,380
Longerenong,8
Longford,43
Longlea,7
Longwarry,153
Longwarry North,20
Longwood,10
Longwood East,4
Lorne,165
Lorquon,1
Lovely Banks,97
Lower Moira,2
Lower Norton,2
Lower Plenty,174
Loy Yang,2
Lubeck,2
Lucas,21
Lucknow,63
Lucyvale,1
Lynbrook,401
Lyndhurst,281
Lyons,1
Lyonville,4
Lysterfield,175
Lysterfield South,52
Macarthur,19
Macclesfield,29
Macedon,86
Macleod,566
Macorna,4
Macs Cove,10
Maddingley,211
Maffra,336
Maffra West Upper,1
Magpie,14
Maiden Gully,95
Maidstone,726
Mailors Flat,9
Main Lead,2
Main Ridge,14
Maindample,7
Maintongoon,2
Major Plains,3
Majorca,10
Maldon,50
Mallacoota,104
Malmsbury,45
Malvern,624
Malvern East,1913
Mambourin,3
Manangatang,60
Mandurang,4
Mandurang South,3
Mangalore,6
Manifold Heights,139
Mannerim,10
Manor Lakes,223
Manorina,1
Mansfield,359
Marcus Hill,12
Marengo,4
Maribyrnong,1639
Marlo,27
Marnoo,3
Marnoo East,14
Marong,31
Maroona,7
Marraweeney,1
Marshall,66
Marungi,3
Maryborough,874
Maryknoll,6
Marysville,8
Maryvale,5
Matlock,3
Maude,4
McCrae,174
McIntyre,1
McKenzie Creek,1
McKenzie Hill,3
McKinnon,170
McLoughlins Beach,8
McMahons Creek,2
McMillans,1
Mead,2
Meadow Creek,18
Meadow Heights,1148
Meeniyan,24
Meerlieu,4
Melbourne,21195
Melbourne Airport,728
Melton,1987
Melton South,1119
Melton West,907
Melwood,1
Mentone,769
Menzies Creek,11
Mepunga,20
Mepunga East,1
Mepunga West,2
Merbein,228
Merbein South,4
Merbein West,9
Meredith,28
Meringur,1
Merino,20
Mernda,1071
Merriang,1
Merricks,1
Merricks Beach,2
Merricks North,7
Merrigum,27
Merrijig,35
Merrimu,9
Merrinee,2
Merton,9
Metcalfe,6
Metcalfe East,2
Metung,69
Mia Mia,7
Mickleham,219
Middle Creek,3
Middle Park,261
Middle Tarwin,1
Miepoll,3
Miga Lake,7
Milawa,4
Mildura,4921
Mill Park,2117
Millbrook,9
Millgrove,59
Milltown,3
Mincha West,2
Miners Rest,95
Minhamite,1
Minimay,3
Mininera,2
Minjah,1
Minmindie,1
Minyip,11
Miram,3
Mirboo,19
Mirboo North,138
Mitcham,799
Mitchell Park,75
Mitchellstown,3
Mitiamo,3
Mitre,1
Mitta Mitta,1
Modella,27
Modewarre,21
Moe,2053
Moe South,23
Moggs Creek,1
Mokepilly,1
Molesworth,10
Moliagul,1
Molka,1
Mollongghip,1
Molyullah,1
Monbulk,120
Monegeetta,7
Monomeith,3
Mont Albert,171
Mont Albert North,99
Montgomery,1
Montmorency,239
Montrose,252
Moolap,392
Moolort,2
Moonambel,4
Moondarra,17
Moonee Ponds,1615
Moonlight Flat,1
Moorabbin,1033
Moorabbin Airport,34
Moorabool,6
Mooralla,1
Moorilim,1
Moorooduc,129
Mooroolbark,1129
Mooroopna,979
Mooroopna North,33
Moranding,1
Mordialloc,654
Moriac,17
Mornington,1811
Morrisons,2
Mortlake,104
Morwell,4082
Mossiface,2
Mount Beauty,29
Mount Best,2
Mount Bruno,2
Mount Buller,1
Mount Burnett,6
Mount Bute,2
Mount Camel,8
Mount Clear,176
Mount Cottrell,50
Mount Dandenong,58
Mount Doran,2
Mount Duneed,54
Mount Eccles,2
Mount Egerton,15
Mount Eliza,437
Mount Emu,1
Mount Evelyn,299
Mount Franklin,2
Mount Glasgow,15
Mount Helen,65
Mount Lonarch,17
Mount Macedon,27
Mount Martha,374
Mount Mercer,5
Mount Moriac,30
Mount Pleasant,172
Mount Richmond,10
Mount Rowan,9
Mount Taylor,7
Mount Toolebewong,2
Mount Wallace,8
Mount Waverley,1039
Mountain View,3
Moyhu,7
Moyston,7
Muckatah,2
Muckleford,15
Muckleford South,5
Mudgegonga,2
Mulgrave,1555
Mumbannar,13
Munro,3
Muntham,1
Murchison,82
Murchison East,31
Murchison North,5
Murgheboluc,2
Murphys Creek,1
Murra Warra,1
Murrabit,9
Murrabit West,2
Murrawee,1
Murraydale,5
Murrayville,9
Murrindal,1
Murrindindi,5
Murroon,5
Murrumbeena,363
Murtoa,101
Muskerry,1
Myall,2
Myamyn,1
Myers Flat,24
Myrniong,8
Myrrhee,12
Myrtlebank,5
Myrtleford,151
Mystic Park,10
Nagambie,97
Nalangil,2
Nalinga,1
Nambrok,15
Nandaly,2
Nangana,1
Nangeela,1
Nangiloc,11
Nanneella,5
Napoleons,16
Nar Nar Goon,49
Nar Nar Goon North,14
Narbethong,12
Nareen,4
Nariel Valley,2
Naringal,6
Naringal East,8
Naroghid,1
Narracan,10
Narrawong,9
Narre Warren,2882
Narre Warren East,23
Narre Warren North,257
Narre Warren South,1058
Narrung,1
Nathalia,114
Natimuk,6
Natte Yallock,2
Navarre,6
Navigators,12
Nayook,42
Neerim,11
Neerim East,18
Neerim Junction,4
Neerim North,1
Neerim South,55
Neilborough,11
Nelson,12
Nerrena,2
Nerrina,38
Netherby,1
New Gisborne,57
Newborough,558
Newbridge,8
Newbury,6
Newcomb,553
Newfield,2
Newham,7
Newhaven,48
Newington,107
Newlands Arm,15
Newlyn,7
Newlyn North,6
Newmerella,18
Newport,851
Newry,16
Newstead,17
Newtown,549
Nhill,63
Nichols Point,40
Nicholson,25
Niddrie,229
Nilma,9
Nilma North,5
Nirranda South,5
Noble Park,2480
Noble Park North,439
Noojee,20
Noorat,8
Noorinbee,4
Noradjuha,3
Norlane,1697
Normanville,1
North Bendigo,218
North Geelong,506
North Melbourne,1723
North Shore,93
North Wangaratta,11
North Warrandyte,23
North Wonthaggi,165
Northcote,2013
Northwood,13
Norval,2
Notting Hill,142
Nowa Nowa,11
Nowie,8
Nug Nug,7
Nullawarre,11
Numurkah,196
Nunawading,674
Nungurner,2
Nunniong,1
Nurrabiel,2
Nutfield,26
Nyah,20
Nyah West,46
Nyora,45
Oak Park,226
Oaklands Junction,17
Oakleigh,947
Oakleigh East,339
Oakleigh South,464
Ocean Grove,404
Officer,344
Officer South,1
Olinda,77
Ombersley,2
Omeo,15
Ondit,1
Orbost,269
Orford,3
Ormond,261
Orrvale,38
Osbornes Flat,1
Outtrim,10
Ouyen,67
Ovens,4
Oxley,5
Paaratte,1
Pakenham,3437
Pakenham South,2
Pakenham Upper,65
Panmure,6
Panton Hill,15
Paradise Beach,7
Paraparap,4
Park Orchards,84
Parkdale,414
Parkville,617
Parwan,24
Pascoe Vale,973
Pascoe Vale South,425
Pastoria,3
Patchewollock,1
Patho,4
Patterson Lakes,363
Paynesville,112
Pearcedale,115
Pearsondale,1
Peechelba,1
Peechelba East,1
Pennyroyal,2
Penshurst,19
Pental Island,3
Pentland Hills,3
Percydale,4
Perry Bridge,3
Peterborough,8
Pheasant Creek,5
Piangil,16
Picola,14
Piedmont,1
Pier Milan,1
Pigeon Ponds,1
Pimpinio,38
Pine Grove,2
Pine Lodge,6
Pioneer Bay,24
Piries,6
Pirron Yallock,3
Plenty,103
Plumpton,5
Point Cook,1607
Point Leo,8
Point Lonsdale,59
Point Wilson,8
Pomborneit,12
Pomborneit East,3
Pomonal,3
Poolaijelo,1
Pootilla,5
Poowong,15
Poowong East,1
Poowong North,2
Porepunkah,81
Port Albert,32
Port Campbell,24
Port Fairy,179
Port Franklin,3
Port Melbourne,1762
Port Welshpool,15
Portarlington,200
Portland,1266
Portland North,39
Portland West,42
Portsea,74
Pound Creek,2
Powelltown,10
Prahran,2508
Prairie,1
Preston,5319
Princes Hill,172
Princetown,6
Puckapunyal,74
Pura Pura,1
Purnim,1
Pyalong,53
Pyramid Hill,19
Quambatook,19
Quandong,116
Quantong,4
Quarry Hill,96
Queenscliff,84
Raglan,6
Rainbow,25
Ranceby,1
Rathscar,2
Ravenhall,288
Ravenswood,53
Ravenswood South,7
Rawson,7
Raymond Island,10
Raywood,8
Red Cliffs,297
Red Hill,24
Red Hill South,13
Red Lion,2
Redan,353
Redbank,6
Redcastle,6
Redesdale,9
Reedy Creek,27
Reedy Dam,1
Reefton,3
Research,41
